step,total_reward,rm_score,penalty,loss
10,-0.102,-0.102,0.0,0.033
11,-0.102,-0.102,0.0,0.033
12,-0.102,-0.102,0.0,0.033
13,-0.102,-0.102,0.0,0.033
14,-0.102,-0.102,0.0,0.033
15,-0.102,-0.102,0.0,0.033
16,-0.102,-0.102,0.0,0.033
17,-0.102,-0.102,0.0,0.033
18,-0.102,-0.102,0.0,0.033
19,-0.102,-0.102,0.0,0.033
20,-0.207,-0.157,0.05,0.281
21,-0.207,-0.157,0.05,0.281
22,-0.207,-0.157,0.05,0.281
23,-0.207,-0.157,0.05,0.281
24,-0.207,-0.157,0.05,0.281
25,-0.207,-0.157,0.05,0.281
26,-0.207,-0.157,0.05,0.281
27,-0.207,-0.157,0.05,0.281
28,-0.207,-0.157,0.05,0.281
29,-0.207,-0.157,0.05,0.281
30,-0.326,-0.177,0.15,0.039
31,-0.326,-0.177,0.15,0.039
32,-0.326,-0.177,0.15,0.039
33,-0.326,-0.177,0.15,0.039
34,-0.326,-0.177,0.15,0.039
35,-0.326,-0.177,0.15,0.039
36,-0.326,-0.177,0.15,0.039
37,-0.326,-0.177,0.15,0.039
38,-0.326,-0.177,0.15,0.039
39,-0.326,-0.177,0.15,0.039
40,-0.289,-0.189,0.1,0.062
41,-0.289,-0.189,0.1,0.062
42,-0.289,-0.189,0.1,0.062
43,-0.289,-0.189,0.1,0.062
44,-0.289,-0.189,0.1,0.062
45,-0.289,-0.189,0.1,0.062
46,-0.289,-0.189,0.1,0.062
47,-0.289,-0.189,0.1,0.062
48,-0.289,-0.189,0.1,0.062
49,-0.289,-0.189,0.1,0.062
50,-0.262,-0.162,0.1,0.048
51,-0.262,-0.162,0.1,0.048
52,-0.262,-0.162,0.1,0.048
53,-0.262,-0.162,0.1,0.048
54,-0.262,-0.162,0.1,0.048
55,-0.262,-0.162,0.1,0.048
56,-0.262,-0.162,0.1,0.048
57,-0.262,-0.162,0.1,0.048
58,-0.262,-0.162,0.1,0.048
59,-0.262,-0.162,0.1,0.048
60,-0.235,-0.135,0.1,0.058
61,-0.235,-0.135,0.1,0.058
62,-0.235,-0.135,0.1,0.058
63,-0.235,-0.135,0.1,0.058
64,-0.235,-0.135,0.1,0.058
65,-0.235,-0.135,0.1,0.058
66,-0.235,-0.135,0.1,0.058
67,-0.235,-0.135,0.1,0.058
68,-0.235,-0.135,0.1,0.058
69,-0.235,-0.135,0.1,0.058
70,-0.132,-0.132,0.0,0.039
71,-0.132,-0.132,0.0,0.039
72,-0.132,-0.132,0.0,0.039
73,-0.132,-0.132,0.0,0.039
74,-0.132,-0.132,0.0,0.039
75,-0.132,-0.132,0.0,0.039
76,-0.132,-0.132,0.0,0.039
77,-0.132,-0.132,0.0,0.039
78,-0.132,-0.132,0.0,0.039
79,-0.132,-0.132,0.0,0.039
80,-0.256,-0.156,0.1,0.027
81,-0.256,-0.156,0.1,0.027
82,-0.256,-0.156,0.1,0.027
83,-0.256,-0.156,0.1,0.027
84,-0.256,-0.156,0.1,0.027
85,-0.256,-0.156,0.1,0.027
86,-0.256,-0.156,0.1,0.027
87,-0.256,-0.156,0.1,0.027
88,-0.256,-0.156,0.1,0.027
89,-0.256,-0.156,0.1,0.027
90,-0.266,-0.164,0.1,0.006
91,-0.266,-0.164,0.1,0.006
92,-0.266,-0.164,0.1,0.006
93,-0.266,-0.164,0.1,0.006
94,-0.266,-0.164,0.1,0.006
95,-0.266,-0.164,0.1,0.006
96,-0.266,-0.164,0.1,0.006
97,-0.266,-0.164,0.1,0.006
98,-0.266,-0.164,0.1,0.006
99,-0.266,-0.164,0.1,0.006
100,-0.256,-0.156,0.1,0.001
